Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Batala ,7,LAKHBIR SINGH LODHINANGAL,Shiromani Akali Dal,ASHWANI SEKHRI,Indian National Congress,485                                               ,Result Declared
Bathinda Rural,93,RUPINDER KAUR RUBY,Aam Aadmi Party,ER. AMIT RATTAN KOTFATTA,Shiromani Akali Dal,10778                                             ,Result Declared
Bathinda Urban,92,MANPREET SINGH BADAL,Indian National Congress,DEEPAK BANSAL,Aam Aadmi Party,18480                                             ,Result Declared
Bhadaur ,102,PIRMAL SINGH DHAULA,Aam Aadmi Party,SANT BALVIR SINGH GHUNAS,Shiromani Akali Dal,20784                                             ,Result Declared
Bhagha Purana,72,DARSHAN SINGH BRAR,Indian National Congress,GURBINDER SINGH KANG,Aam Aadmi Party,7250                                              ,Result Declared
Bhoa,2,JOGINDER PAL,Indian National Congress,SEEMA KUMARI,Bharatiya Janata Party,27496                                             ,Result Declared
Bholath ,26,SUKHPAL SINGH KHAIRA,Aam Aadmi Party,YUVRAJ BHUPINDER SINGH,Shiromani Akali Dal,8202                                              ,Result Declared
Bhucho Mandi ,91,PRITAM SINGH KOTBHAI,Indian National Congress,JAGSIR SINGH,Aam Aadmi Party,645                                               ,Result Declared
Budhlada ,98,BUDH RAM,Aam Aadmi Party,RANJIT KAUR BHATTI,Indian National Congress,1276                                              ,Result Declared
Chabbewal ,44,DR. RAJ KUMAR,Indian National Congress,SOHAN SINGH THANDAL,Shiromani Akali Dal,29261                                             ,Result Declared
Chamkaur Sahib,51,CHARANJIT SINGH CHANNI,Indian National Congress,CHARANJIT SINGH,Aam Aadmi Party,12308                                             ,Result Declared
Dakha,68,HARVINDER SINGH PHOOLKA,Aam Aadmi Party,MANPREET SINGH AYALI,Shiromani Akali Dal,4169                                              ,Result Declared
Dasuya,40,ARUN DOGRA,Indian National Congress,SUKHJIT KAUR,Bharatiya Janata Party,17638                                             ,Result Declared
Dera Baba  Nanak ,10,SUKHJINDER SINGH RANDHAWA,Indian National Congress,SUCHA SINGH LANGAH,Shiromani Akali Dal,1194                                              ,Result Declared
Dera Bassi ,112,NARINDER KUMAR SHARMA,Shiromani Akali Dal,DEEPINDER SINGH,Indian National Congress,1921                                              ,Result Declared
Dharamkot ,74,SUKHJIT SINGH,Indian National Congress,TOTA SINGH,Shiromani Akali Dal,22218                                             ,Result Declared
Dhuri ,107,DALVIR SINGH GOLDY,Indian National Congress,JASVIR SINGH JASSI SEKHON,Aam Aadmi Party,2811                                              ,Result Declared
Dina Nagar,5,ARUNA CHAUDHARY,Indian National Congress,BISHAN DASS,Bharatiya Janata Party,31917                                             ,Result Declared
Dirba ,100,HARPAL SINGH CHEEMA,Aam Aadmi Party,AJAIB SINGH RATOLAN,Indian National Congress,1645                                              ,Result Declared
